supplier_name,sector,supplier_type,rating,on_time_pct,defect_rate_pct,active_discount,speed_class
Unified Parts Corp.,Industrial,Parts,B+,91.2,3.2,Net-30 Terms,2-Day Priority
Precision Logistics Corp.,Industrial,Parts,B,94.7,3.7,No Auth Discount,Next-Day Air
Dynamic Tech Co.,Industrial,Parts,B+,96.0,2.0,Net-30 Terms,2-Day Priority
Optimal Systems International,Industrial,Parts,B,99.1,2.1,No Auth Discount,Standard (3-5 Days)
Titan Manufacturing Group,Industrial,Parts,A,98.8,3.3,5% Preferred Partner,Standard (3-5 Days)
Titan Industries Partners,Industrial,Parts,A+,97.2,1.2,10% Enterprise Vol,Standard (3-5 Days)
Prime Services Inc.,Industrial,Parts,A+,96.2,2.2,10% Enterprise Vol,Next-Day Air
Unified Industries Ltd.,Industrial,Parts,B+,91.8,3.8,Net-30 Terms,2-Day Priority
Unified Supply Partners,Industrial,Parts,A,97.4,1.9,5% Preferred Partner,Next-Day Air
Elite Enterprises Global,Industrial,Parts,A+,98.4,2.4,10% Enterprise Vol,Standard (3-5 Days)
Unified Manufacturing Co.,Industrial,Parts,B,92.2,2.7,No Auth Discount,Standard (3-5 Days)
Summit Supply LLC,Industrial,Parts,A+,93.8,1.8,10% Enterprise Vol,Standard (3-5 Days)
Apex Systems Global,Industrial,Parts,B+,95.9,1.4,Net-30 Terms,2-Day Priority
Eco Parts International,Industrial,Parts,B+,96.0,2.0,Net-30 Terms,2-Day Priority
Structural Manufacturing Global,Industrial,Parts,A,91.8,1.3,5% Preferred Partner,Next-Day Air
Optimal Services International,Industrial,Parts,A,98.9,3.9,5% Preferred Partner,Standard (3-5 Days)
Eco Enterprises Inc.,Industrial,Parts,A,90.5,3.5,5% Preferred Partner,2-Day Priority
Smart Manufacturing Global,Industrial,Parts,A+,98.5,3.0,10% Enterprise Vol,Standard (3-5 Days)
Summit Supply Inc.,Industrial,Parts,B+,95.1,2.6,Net-30 Terms,2-Day Priority
Omni Manufacturing Ltd.,Industrial,Parts,A+,99.3,2.8,10% Enterprise Vol,Next-Day Air
Structural Manufacturing Group,Industrial,Parts,A,96.6,1.1,5% Preferred Partner,2-Day Priority
Eco Works Ltd.,Industrial,Parts,A,91.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Prime Enterprises Global,Industrial,Parts,A,90.8,2.3,5% Preferred Partner,2-Day Priority
Advanced Works International,Industrial,Parts,A+,91.0,3.0,10% Enterprise Vol,Standard (3-5 Days)
Optimal Logistics International,Industrial,Parts,A,96.4,3.9,5% Preferred Partner,Standard (3-5 Days)
Structural Manufacturing Ltd.,Industrial,Parts,A,98.1,2.1,5% Preferred Partner,Standard (3-5 Days)
Global Supply Group,Industrial,Parts,B+,98.4,2.4,Net-30 Terms,Standard (3-5 Days)
Dynamic Manufacturing Solutions,Industrial,Parts,B,94.7,2.7,No Auth Discount,Standard (3-5 Days)
Advanced Parts Partners,Industrial,Parts,A+,93.7,1.2,10% Enterprise Vol,Standard (3-5 Days)
Eco Tech Corp.,Industrial,Parts,B+,93.6,2.6,Net-30 Terms,2-Day Priority
Precision Logistics Inc.,Industrial,Parts,A,95.5,3.5,5% Preferred Partner,2-Day Priority
Titan Networks Partners,Industrial,Parts,B,93.2,3.7,No Auth Discount,Next-Day Air
Optimal Manufacturing Solutions,Industrial,Parts,A,91.2,1.7,5% Preferred Partner,2-Day Priority
Titan Works Group,Industrial,Parts,A+,94.4,3.4,10% Enterprise Vol,Next-Day Air
Precision Works Global,Industrial,Parts,B,90.5,2.5,No Auth Discount,Next-Day Air
Core Networks Partners,Industrial,Parts,B,97.0,3.5,No Auth Discount,2-Day Priority
Unified Components Inc.,Industrial,Parts,A,92.4,1.9,5% Preferred Partner,Next-Day Air
Omni Supply Inc.,Industrial,Parts,A+,94.0,2.0,10% Enterprise Vol,2-Day Priority
Core Enterprises Global,Industrial,Parts,A,96.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Industrial Parts Solutions,Industrial,Parts,B+,95.8,3.8,Net-30 Terms,2-Day Priority
Precision Networks Global,Industrial,Parts,A,94.3,2.3,5% Preferred Partner,2-Day Priority
Structural Components Co.,Industrial,Parts,B+,90.1,1.6,Net-30 Terms,Next-Day Air
Precision Industries Co.,Industrial,Parts,A,92.6,1.1,5% Preferred Partner,2-Day Priority
Precision Systems Group,Industrial,Parts,A,94.0,3.5,5% Preferred Partner,2-Day Priority
Vortex Components Inc.,Industrial,Parts,A+,91.2,3.2,10% Enterprise Vol,2-Day Priority
Vortex Engineering Global,Industrial,Parts,B,95.1,1.1,No Auth Discount,2-Day Priority
Prime Enterprises Inc.,Industrial,Parts,B+,97.3,3.8,Net-30 Terms,2-Day Priority
Dynamic Logistics Ltd.,Industrial,Parts,A,96.8,1.3,5% Preferred Partner,Next-Day Air
Eco Tech Co.,Industrial,Parts,A,91.0,2.5,5% Preferred Partner,Next-Day Air
Smart Manufacturing Partners,Industrial,Parts,A+,91.1,3.6,10% Enterprise Vol,Standard (3-5 Days)
Smart Enterprises International,Industrial,Parts,B+,93.5,2.0,Net-30 Terms,2-Day Priority
Dynamic Tech Inc.,Industrial,Parts,A+,99.1,1.6,10% Enterprise Vol,Next-Day Air
Apex Dynamics International,Industrial,Parts,A+,92.9,3.4,10% Enterprise Vol,Next-Day Air
Nexus Works Partners,Industrial,Parts,A+,90.0,2.0,10% Enterprise Vol,2-Day Priority
Omni Systems Partners,Industrial,Parts,A+,98.8,1.8,10% Enterprise Vol,Standard (3-5 Days)
Unified Logistics Co.,Industrial,Parts,A,96.5,3.5,5% Preferred Partner,2-Day Priority
Unified Supply Solutions,Industrial,Parts,B+,98.6,1.6,Net-30 Terms,Next-Day Air
Rapid Parts Partners,Industrial,Parts,A+,93.7,2.2,10% Enterprise Vol,Next-Day Air
Prime Components Corp.,Industrial,Parts,B+,92.4,3.4,Net-30 Terms,Next-Day Air
Advanced Tech Inc.,Industrial,Parts,A,97.8,2.3,5% Preferred Partner,2-Day Priority
Core Components Group,Industrial,Parts,A,95.5,2.5,5% Preferred Partner,Next-Day Air
Eco Systems International,Industrial,Parts,B,94.7,2.7,No Auth Discount,Standard (3-5 Days)
Unified Engineering LLC,Industrial,Parts,B+,90.1,1.6,Net-30 Terms,Next-Day Air
Precision Manufacturing International,Industrial,Parts,B+,93.0,3.0,Net-30 Terms,Standard (3-5 Days)
Global Services Solutions,Industrial,Parts,A+,92.5,2.0,10% Enterprise Vol,2-Day Priority
Summit Components Ltd.,Industrial,Parts,A,93.8,2.3,5% Preferred Partner,2-Day Priority
Nexus Parts Corp.,Industrial,Parts,A+,91.4,3.4,10% Enterprise Vol,Next-Day Air
Eco Parts Corp.,Industrial,Parts,B,96.7,2.7,No Auth Discount,Standard (3-5 Days)
Prime Solutions Inc.,Industrial,Parts,A+,90.7,3.2,10% Enterprise Vol,2-Day Priority
Vortex Manufacturing LLC,Industrial,Parts,A,90.4,2.9,5% Preferred Partner,2-Day Priority
Unified Components Corp.,Industrial,Parts,A,92.5,1.5,5% Preferred Partner,Standard (3-5 Days)
Summit Solutions Partners,Industrial,Parts,B+,92.2,2.2,Net-30 Terms,Next-Day Air
Apex Tech LLC,Industrial,Parts,A+,93.3,3.8,10% Enterprise Vol,2-Day Priority
Eco Dynamics LLC,Industrial,Parts,B+,92.9,2.4,Net-30 Terms,Standard (3-5 Days)
Eco Supply Corp.,Industrial,Parts,A,90.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Omni Industries Partners,Industrial,Parts,B+,98.3,2.8,Net-30 Terms,Next-Day Air
Advanced Logistics LLC,Industrial,Parts,A+,93.7,3.2,10% Enterprise Vol,2-Day Priority
Core Logistics Co.,Industrial,Parts,A,91.3,2.3,5% Preferred Partner,2-Day Priority
Core Tech Partners,Industrial,Parts,A+,94.7,3.2,10% Enterprise Vol,2-Day Priority
Precision Networks Corp.,Industrial,Parts,A,96.4,1.9,5% Preferred Partner,Next-Day Air
Global Engineering LLC,Industrial,Parts,B,90.1,2.1,No Auth Discount,Standard (3-5 Days)
Precision Enterprises Global,Industrial,Parts,A,94.3,3.3,5% Preferred Partner,Standard (3-5 Days)
Omni Industries Solutions,Industrial,Parts,A+,93.2,1.2,10% Enterprise Vol,Standard (3-5 Days)
Apex Services Partners,Industrial,Parts,A,95.3,2.3,5% Preferred Partner,2-Day Priority
Summit Tech International,Industrial,Parts,B+,98.0,1.0,Net-30 Terms,Next-Day Air
Titan Services International,Industrial,Parts,A+,92.7,2.2,10% Enterprise Vol,Next-Day Air
Eco Industries Global,Industrial,Parts,B+,93.5,2.0,Net-30 Terms,2-Day Priority
Precision Services Partners,Industrial,Parts,A+,90.8,3.8,10% Enterprise Vol,2-Day Priority
Optimal Networks Co.,Industrial,Parts,A+,91.9,3.4,10% Enterprise Vol,Next-Day Air
Summit Services Partners,Industrial,Parts,B,91.5,1.5,No Auth Discount,Standard (3-5 Days)
Nexus Dynamics Inc.,Industrial,Parts,B+,94.5,2.0,Net-30 Terms,2-Day Priority
Industrial Dynamics Ltd.,Industrial,Parts,A,92.0,3.5,5% Preferred Partner,2-Day Priority
Global Parts Corp.,Industrial,Parts,A+,98.6,1.6,10% Enterprise Vol,Next-Day Air
Vortex Parts Ltd.,Industrial,Parts,A,92.3,2.3,5% Preferred Partner,2-Day Priority
Industrial Networks Partners,Industrial,Parts,B+,95.8,3.8,Net-30 Terms,2-Day Priority
Summit Logistics Inc.,Industrial,Parts,A+,98.9,1.4,10% Enterprise Vol,2-Day Priority
Titan Industries Corp.,Industrial,Parts,B,96.8,1.3,No Auth Discount,Next-Day Air
Precision Services International,Industrial,Parts,B,94.4,1.9,No Auth Discount,Next-Day Air
Rapid Logistics Group,Industrial,Parts,A,97.3,2.3,5% Preferred Partner,2-Day Priority
Optimal Industries Ltd.,Industrial,Parts,B,97.5,3.5,No Auth Discount,2-Day Priority
Omni Systems Ltd.,Industrial,Parts,B+,99.4,3.4,Net-30 Terms,Next-Day Air
Apex Works Ltd.,Industrial,Parts,A+,95.5,3.0,10% Enterprise Vol,Standard (3-5 Days)
Unified Tech Group,Industrial,Parts,A,93.5,2.5,5% Preferred Partner,Next-Day Air
Dynamic Manufacturing Inc.,Industrial,Product,B,92.4,3.9,No Auth Discount,Standard (3-5 Days)
Elite Supply International,Industrial,Product,B+,95.0,2.0,Net-30 Terms,2-Day Priority
Apex Resources International,Industrial,Product,B,97.9,1.9,No Auth Discount,Next-Day Air
Advanced Parts Solutions,Industrial,Product,B,97.6,3.1,No Auth Discount,Next-Day Air
Industrial Logistics Global,Industrial,Product,B,96.7,3.7,No Auth Discount,Next-Day Air
Titan Works Partners,Industrial,Product,B,98.0,1.5,No Auth Discount,Standard (3-5 Days)
Nexus Supply Global,Industrial,Product,B,97.2,1.7,No Auth Discount,2-Day Priority
Dynamic Dynamics International,Industrial,Product,A+,92.2,3.2,10% Enterprise Vol,2-Day Priority
Elite Works LLC,Industrial,Product,B,95.1,2.1,No Auth Discount,Standard (3-5 Days)
Precision Systems Global,Industrial,Product,A+,98.4,1.4,10% Enterprise Vol,2-Day Priority
Summit Services Corp.,Industrial,Product,A,93.6,3.1,5% Preferred Partner,Next-Day Air
Elite Engineering Solutions,Industrial,Product,B+,92.9,3.4,Net-30 Terms,Next-Day Air
Advanced Networks Co.,Industrial,Product,B,91.7,2.7,No Auth Discount,Standard (3-5 Days)
Optimal Engineering Group,Industrial,Product,A,93.8,1.3,5% Preferred Partner,Next-Day Air
Industrial Industries Group,Industrial,Product,A,97.5,2.5,5% Preferred Partner,Next-Day Air
Optimal Resources Group,Industrial,Product,B,97.9,1.9,No Auth Discount,Next-Day Air
Industrial Solutions Inc.,Industrial,Product,A+,94.6,3.6,10% Enterprise Vol,Standard (3-5 Days)
Structural Parts Group,Industrial,Product,A,91.9,2.9,5% Preferred Partner,2-Day Priority
Dynamic Industries Global,Industrial,Product,A,95.5,3.5,5% Preferred Partner,2-Day Priority
Dynamic Industries Ltd.,Industrial,Product,A+,97.5,3.0,10% Enterprise Vol,Standard (3-5 Days)
Structural Resources International,Industrial,Product,B,91.9,3.9,No Auth Discount,Standard (3-5 Days)
Eco Tech Ltd.,Industrial,Product,B,92.9,1.9,No Auth Discount,Next-Day Air
Elite Parts Co.,Industrial,Product,A,90.1,3.1,5% Preferred Partner,Next-Day Air
Precision Engineering Corp.,Industrial,Product,B,99.2,1.7,No Auth Discount,2-Day Priority
Nexus Supply Inc.,Industrial,Product,B,90.7,1.7,No Auth Discount,2-Day Priority
Industrial Industries LLC,Industrial,Product,A+,90.3,2.8,10% Enterprise Vol,Next-Day Air
Rapid Resources Inc.,Industrial,Product,B+,99.0,2.0,Net-30 Terms,2-Day Priority
Industrial Logistics Co.,Industrial,Product,B,92.6,3.1,No Auth Discount,Next-Day Air
Eco Logistics Ltd.,Industrial,Product,A,92.3,2.3,5% Preferred Partner,2-Day Priority
Apex Components Global,Industrial,Product,B+,93.6,1.6,Net-30 Terms,Next-Day Air
Prime Systems International,Industrial,Product,B,96.1,3.1,No Auth Discount,Next-Day Air
Dynamic Supply Ltd.,Industrial,Product,A+,96.7,3.2,10% Enterprise Vol,2-Day Priority
Unified Solutions Partners,Industrial,Product,A+,99.3,2.8,10% Enterprise Vol,Next-Day Air
Omni Services LLC,Industrial,Product,B,98.4,3.9,No Auth Discount,Standard (3-5 Days)
Optimal Components Co.,Industrial,Product,A,90.4,1.9,5% Preferred Partner,Next-Day Air
Optimal Industries Co.,Industrial,Product,A,95.5,2.5,5% Preferred Partner,Next-Day Air
Omni Parts Corp.,Industrial,Product,A,93.0,3.5,5% Preferred Partner,2-Day Priority
Dynamic Works Corp.,Industrial,Product,B+,96.1,1.6,Net-30 Terms,Next-Day Air
Titan Enterprises Global,Industrial,Product,A+,95.4,2.4,10% Enterprise Vol,Standard (3-5 Days)
Smart Manufacturing Solutions,Industrial,Product,A,93.3,3.3,5% Preferred Partner,Standard (3-5 Days)
Rapid Dynamics Ltd.,Industrial,Product,B,92.9,1.9,No Auth Discount,Next-Day Air
Titan Supply Partners,Industrial,Product,B,96.0,3.5,No Auth Discount,2-Day Priority
Advanced Enterprises International,Industrial,Product,B+,95.2,3.2,Net-30 Terms,2-Day Priority
Titan Enterprises Group,Industrial,Product,B,92.4,1.9,No Auth Discount,Next-Day Air
Global Tech Co.,Industrial,Product,A,93.7,1.7,5% Preferred Partner,2-Day Priority
Rapid Enterprises Group,Industrial,Product,A+,95.6,2.6,10% Enterprise Vol,2-Day Priority
Precision Networks Inc.,Industrial,Product,B+,98.0,3.0,Net-30 Terms,Standard (3-5 Days)
Apex Parts Partners,Industrial,Product,B+,98.5,1.0,Net-30 Terms,Next-Day Air
Eco Services Ltd.,Industrial,Product,A+,91.4,1.4,10% Enterprise Vol,2-Day Priority
Summit Engineering Group,Industrial,Product,A,92.7,1.7,5% Preferred Partner,2-Day Priority
Omni Logistics Corp.,Industrial,Product,A+,96.6,3.6,10% Enterprise Vol,Standard (3-5 Days)
Precision Components Solutions,Industrial,Product,A+,98.3,3.8,10% Enterprise Vol,2-Day Priority
Industrial Logistics Solutions,Industrial,Product,A+,93.5,3.0,10% Enterprise Vol,Standard (3-5 Days)
Structural Logistics Co.,Industrial,Product,B,94.4,3.9,No Auth Discount,Standard (3-5 Days)
Dynamic Tech LLC,Industrial,Product,B,90.9,1.9,No Auth Discount,Next-Day Air
Global Systems Solutions,Industrial,Product,A,93.9,2.9,5% Preferred Partner,2-Day Priority
Core Manufacturing International,Industrial,Product,B,93.1,1.1,No Auth Discount,2-Day Priority
Rapid Parts Global,Industrial,Product,A,96.8,3.3,5% Preferred Partner,Standard (3-5 Days)
Core Tech Solutions,Industrial,Product,B,92.5,2.5,No Auth Discount,Next-Day Air
Structural Enterprises Co.,Industrial,Product,A+,92.7,2.2,10% Enterprise Vol,Next-Day Air
Core Works Ltd.,Industrial,Product,B+,92.2,2.2,Net-30 Terms,Next-Day Air
Rapid Supply Group,Industrial,Product,A+,95.9,3.4,10% Enterprise Vol,Next-Day Air
Elite Works Solutions,Industrial,Product,A,92.1,1.1,5% Preferred Partner,2-Day Priority
Vortex Industries Corp.,Industrial,Product,A,92.8,2.3,5% Preferred Partner,2-Day Priority
Structural Works Global,Industrial,Product,B+,99.2,2.2,Net-30 Terms,Next-Day Air
Rapid Parts LLC,Industrial,Product,B+,98.9,1.4,Net-30 Terms,2-Day Priority
Smart Engineering Solutions,Industrial,Product,A+,92.2,1.2,10% Enterprise Vol,Standard (3-5 Days)
Unified Logistics Partners,Industrial,Product,A,98.0,1.5,5% Preferred Partner,Standard (3-5 Days)
Rapid Components Partners,Industrial,Product,A,97.0,3.5,5% Preferred Partner,2-Day Priority
Smart Works Partners,Industrial,Product,A+,92.4,1.4,10% Enterprise Vol,2-Day Priority
Titan Systems Inc.,Industrial,Product,B,98.6,1.1,No Auth Discount,2-Day Priority
Industrial Works International,Industrial,Product,A,92.1,1.1,5% Preferred Partner,2-Day Priority
Unified Engineering Co.,Industrial,Product,B+,97.5,2.0,Net-30 Terms,2-Day Priority
Rapid Manufacturing Group,Industrial,Product,A+,95.2,2.2,10% Enterprise Vol,Next-Day Air
Unified Manufacturing Global,Industrial,Product,A,98.8,2.3,5% Preferred Partner,2-Day Priority
Elite Parts Global,Industrial,Product,B+,99.2,1.2,Net-30 Terms,Standard (3-5 Days)
Core Networks Co.,Industrial,Product,A,90.1,2.1,5% Preferred Partner,Standard (3-5 Days)
Summit Parts Inc.,Industrial,Product,B,93.5,3.5,No Auth Discount,2-Day Priority
Precision Services Group,Industrial,Product,B+,92.8,3.8,Net-30 Terms,2-Day Priority
Smart Solutions Co.,Industrial,Product,A+,97.7,2.2,10% Enterprise Vol,Next-Day Air
Rapid Manufacturing Ltd.,Industrial,Product,A,92.5,2.5,5% Preferred Partner,Next-Day Air
Advanced Systems International,Industrial,Product,A,90.8,1.3,5% Preferred Partner,Next-Day Air
Prime Works Partners,Industrial,Product,A,94.5,2.5,5% Preferred Partner,Next-Day Air
Nexus Dynamics Corp.,Industrial,Product,A,96.9,2.9,5% Preferred Partner,2-Day Priority
Dynamic Industries Partners,Industrial,Product,B+,95.3,2.8,Net-30 Terms,Next-Day Air
Vortex Tech Corp.,Industrial,Product,A,94.2,3.7,5% Preferred Partner,Next-Day Air
Advanced Manufacturing Ltd.,Industrial,Product,B+,96.5,3.0,Net-30 Terms,Standard (3-5 Days)
Advanced Solutions Solutions,Industrial,Product,A,91.0,2.5,5% Preferred Partner,Next-Day Air
Unified Tech Ltd.,Industrial,Product,A,94.5,3.5,5% Preferred Partner,2-Day Priority
Industrial Works Inc.,Industrial,Product,A,97.5,2.5,5% Preferred Partner,Next-Day Air
Unified Engineering International,Industrial,Product,B,97.1,2.1,No Auth Discount,Standard (3-5 Days)
Optimal Parts Partners,Industrial,Product,A+,96.7,2.2,10% Enterprise Vol,Next-Day Air
Titan Engineering Global,Industrial,Product,A,97.3,2.3,5% Preferred Partner,2-Day Priority
Elite Resources Inc.,Industrial,Product,A,94.3,2.3,5% Preferred Partner,2-Day Priority
Global Services Solutions,Industrial,Product,A+,92.5,2.0,10% Enterprise Vol,2-Day Priority
Omni Enterprises International,Industrial,Product,B,91.8,1.3,No Auth Discount,Next-Day Air
Dynamic Services Inc.,Industrial,Product,B,94.0,3.5,No Auth Discount,2-Day Priority
Eco Components International,Industrial,Product,B+,98.4,3.4,Net-30 Terms,Next-Day Air
Summit Engineering Ltd.,Industrial,Product,B,90.2,1.7,No Auth Discount,2-Day Priority
Nexus Enterprises Ltd.,Industrial,Product,A,91.8,1.3,5% Preferred Partner,Next-Day Air
Structural Dynamics LLC,Industrial,Product,B+,95.8,3.8,Net-30 Terms,2-Day Priority
Nexus Supply International,Industrial,Product,A,99.0,1.5,5% Preferred Partner,Standard (3-5 Days)
Advanced Parts Global,Industrial,Product,B+,97.4,1.4,Net-30 Terms,2-Day Priority
Vortex Engineering Ltd.,Industrial,Product,B+,99.2,2.2,Net-30 Terms,Next-Day Air
Dynamic Tech Co.,Industrial,Product,B+,96.0,2.0,Net-30 Terms,2-Day Priority
Global Parts Global,Industrial,Product,A+,95.2,2.2,10% Enterprise Vol,Next-Day Air
Dynamic Parts LLC,Industrial,Product,A+,94.0,2.0,10% Enterprise Vol,2-Day Priority
Elite Dynamics Global,Industrial,Product,A,91.0,3.5,5% Preferred Partner,2-Day Priority
Global Parts Group,Industrial,Product,B,91.4,2.9,No Auth Discount,2-Day Priority
Nexus Enterprises Global,Industrial,Product,A,97.9,3.9,5% Preferred Partner,Standard (3-5 Days)
Rapid Dynamics Corp.,Industrial,Product,A,93.8,3.3,5% Preferred Partner,Standard (3-5 Days)
Smart Works Co.,Industrial,Product,B+,98.7,3.2,Net-30 Terms,2-Day Priority
Omni Engineering Solutions,Industrial,Product,A+,95.1,1.6,10% Enterprise Vol,Next-Day Air
Industrial Manufacturing Corp.,Industrial,Product,B,92.5,1.5,No Auth Discount,Standard (3-5 Days)
Prime Resources Ltd.,Industrial,Product,A+,90.8,2.8,10% Enterprise Vol,Next-Day Air
Unified Solutions Group,Industrial,Product,B+,98.4,1.4,Net-30 Terms,2-Day Priority
Smart Parts Solutions,Appliance,Parts,A+,92.0,3.0,10% Enterprise Vol,Standard (3-5 Days)
Vortex Solutions Inc.,Appliance,Parts,B,95.5,2.5,No Auth Discount,Next-Day Air
Structural Engineering Inc.,Appliance,Parts,A,98.4,1.9,5% Preferred Partner,Next-Day Air
Apex Systems Ltd.,Appliance,Parts,A,95.7,1.7,5% Preferred Partner,2-Day Priority
Summit Enterprises LLC,Appliance,Parts,A+,91.2,2.2,10% Enterprise Vol,Next-Day Air
Rapid Dynamics Global,Appliance,Parts,B,97.1,2.1,No Auth Discount,Standard (3-5 Days)
Rapid Tech Inc.,Appliance,Parts,B+,90.7,2.2,Net-30 Terms,Next-Day Air
Dynamic Networks Corp.,Appliance,Parts,B,99.0,3.5,No Auth Discount,2-Day Priority
Core Dynamics Group,Appliance,Parts,A+,96.8,2.8,10% Enterprise Vol,Next-Day Air
Summit Supply Partners,Appliance,Parts,A+,94.3,3.8,10% Enterprise Vol,2-Day Priority
Omni Resources Corp.,Appliance,Parts,A,95.7,3.7,5% Preferred Partner,Next-Day Air
Elite Resources Global,Appliance,Parts,B+,95.3,2.8,Net-30 Terms,Next-Day Air
Omni Engineering Partners,Appliance,Parts,B,94.3,1.3,No Auth Discount,Next-Day Air
Unified Systems Solutions,Appliance,Parts,B+,98.6,1.6,Net-30 Terms,Next-Day Air
Summit Logistics Partners,Appliance,Parts,A,99.4,2.9,5% Preferred Partner,2-Day Priority
Rapid Engineering Inc.,Appliance,Parts,A+,94.2,1.2,10% Enterprise Vol,Standard (3-5 Days)
Global Enterprises Global,Appliance,Parts,A,98.9,2.9,5% Preferred Partner,2-Day Priority
Summit Engineering Group,Appliance,Parts,A,92.7,1.7,5% Preferred Partner,2-Day Priority
Summit Resources Corp.,Appliance,Parts,B+,99.0,1.0,Net-30 Terms,Next-Day Air
Advanced Supply Corp.,Appliance,Parts,B,93.7,1.7,No Auth Discount,2-Day Priority
Summit Systems Ltd.,Appliance,Parts,A+,91.7,3.2,10% Enterprise Vol,2-Day Priority
Nexus Works Ltd.,Appliance,Parts,B+,94.0,2.0,Net-30 Terms,2-Day Priority
Omni Components Inc.,Appliance,Parts,B+,96.5,3.0,Net-30 Terms,Standard (3-5 Days)
Apex Parts Inc.,Appliance,Parts,B,91.5,1.5,No Auth Discount,Standard (3-5 Days)
Structural Manufacturing Corp.,Appliance,Parts,A+,98.5,1.0,10% Enterprise Vol,Next-Day Air
Nexus Supply Corp.,Appliance,Parts,B+,91.2,2.2,Net-30 Terms,Next-Day Air
Eco Industries Corp.,Appliance,Parts,A+,90.3,1.8,10% Enterprise Vol,Standard (3-5 Days)
Dynamic Dynamics LLC,Appliance,Parts,A,91.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Optimal Tech LLC,Appliance,Parts,A+,90.3,1.8,10% Enterprise Vol,Standard (3-5 Days)
Omni Networks Solutions,Appliance,Parts,A,94.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Vortex Manufacturing Solutions,Appliance,Parts,B,90.0,3.5,No Auth Discount,2-Day Priority
Dynamic Components LLC,Appliance,Parts,A+,93.6,3.6,10% Enterprise Vol,Standard (3-5 Days)
Nexus Parts Global,Appliance,Parts,B+,92.4,3.4,Net-30 Terms,Next-Day Air
Apex Parts Ltd.,Appliance,Parts,A,95.5,1.5,5% Preferred Partner,Standard (3-5 Days)
Eco Works Co.,Appliance,Parts,A,96.6,3.1,5% Preferred Partner,Next-Day Air
Vortex Resources Inc.,Appliance,Parts,B+,98.6,2.6,Net-30 Terms,2-Day Priority
Vortex Solutions LLC,Appliance,Parts,B,92.4,2.9,No Auth Discount,2-Day Priority
Apex Systems Global,Appliance,Parts,B+,95.9,1.4,Net-30 Terms,2-Day Priority
Global Industries Co.,Appliance,Parts,B,91.8,3.3,No Auth Discount,Standard (3-5 Days)
Unified Works Corp.,Appliance,Parts,B+,94.2,2.2,Net-30 Terms,Next-Day Air
Unified Networks International,Appliance,Parts,A+,93.6,3.6,10% Enterprise Vol,Standard (3-5 Days)
Titan Enterprises Co.,Appliance,Parts,B+,97.0,3.0,Net-30 Terms,Standard (3-5 Days)
Omni Works Group,Appliance,Parts,B,90.1,2.1,No Auth Discount,Standard (3-5 Days)
Apex Resources Inc.,Appliance,Parts,B,96.5,3.5,No Auth Discount,2-Day Priority
Prime Networks Ltd.,Appliance,Parts,A+,95.2,3.2,10% Enterprise Vol,2-Day Priority
Omni Tech Ltd.,Appliance,Parts,A,93.1,2.1,5% Preferred Partner,Standard (3-5 Days)
Vortex Parts Inc.,Appliance,Parts,B+,95.0,2.0,Net-30 Terms,2-Day Priority
Industrial Tech Partners,Appliance,Parts,A,92.2,1.7,5% Preferred Partner,2-Day Priority
Prime Systems Ltd.,Appliance,Parts,A+,99.4,3.4,10% Enterprise Vol,Next-Day Air
Smart Components Co.,Appliance,Parts,B+,93.1,1.6,Net-30 Terms,Next-Day Air
Core Logistics LLC,Appliance,Parts,B+,91.8,1.8,Net-30 Terms,Standard (3-5 Days)
Elite Networks Inc.,Appliance,Parts,A,91.8,1.3,5% Preferred Partner,Next-Day Air
Precision Enterprises LLC,Appliance,Parts,A,91.5,3.5,5% Preferred Partner,2-Day Priority
Core Manufacturing International,Appliance,Parts,B,93.1,1.1,No Auth Discount,2-Day Priority
Omni Works Co.,Appliance,Parts,A,98.4,1.9,5% Preferred Partner,Next-Day Air
Industrial Networks LLC,Appliance,Parts,A+,98.6,1.6,10% Enterprise Vol,Next-Day Air
Unified Supply Group,Appliance,Parts,B,92.9,3.9,No Auth Discount,Standard (3-5 Days)
Titan Resources International,Appliance,Parts,A,94.7,1.7,5% Preferred Partner,2-Day Priority
Vortex Resources International,Appliance,Parts,A+,93.3,1.8,10% Enterprise Vol,Standard (3-5 Days)
Smart Systems Group,Appliance,Parts,A+,99.2,2.2,10% Enterprise Vol,Next-Day Air
Optimal Engineering LLC,Appliance,Parts,A+,94.4,2.4,10% Enterprise Vol,Standard (3-5 Days)
Vortex Resources Global,Appliance,Parts,A,91.0,1.5,5% Preferred Partner,Standard (3-5 Days)
Omni Parts Partners,Appliance,Parts,A,93.1,2.1,5% Preferred Partner,Standard (3-5 Days)
Omni Engineering LLC,Appliance,Parts,A,94.8,2.3,5% Preferred Partner,2-Day Priority
Rapid Solutions Corp.,Appliance,Parts,B,96.5,1.5,No Auth Discount,Standard (3-5 Days)
Summit Enterprises Corp.,Appliance,Parts,A,91.0,1.5,5% Preferred Partner,Standard (3-5 Days)
Dynamic Tech Corp.,Appliance,Parts,A+,91.2,3.2,10% Enterprise Vol,2-Day Priority
